Target_Gene,Cancer_Types_Count,Clinical_Stage,Available_Drugs,Cancer_Types
SPECC1L,1,unknown,,Synovial Sarcoma
BCAR1,1,unknown,,Chondrosarcoma
CCNE2,1,unknown,,Chondrosarcoma
CFL1,1,unknown,,Hodgkin Lymphoma
JAK1,1,approved,ruxolitinib; tofacitinib; baricitinib,Hodgkin Lymphoma
SOCS3,1,unknown,,Well-Differentiated Thyroid Cancer
RAF1,1,unknown,,Intracholecystic Papillary Neoplasm
TGIF1,1,unknown,,Cervical Adenocarcinoma
SNAI2,1,unknown,,Cutaneous Squamous Cell Carcinoma
NPIPB11,1,unknown,,Prostate Adenocarcinoma
TFCP2L1,1,unknown,,Uterine Sarcoma/Mesenchymal
RPS6KB1,1,unknown,,Extra Gonadal Germ Cell Tumor
ERBB3,1,preclinical,,Clear Cell Sarcoma
FOXM1,1,unknown,,Retinoblastoma
IRS2,1,unknown,,Retinoblastoma
MAP2K2,1,approved,trametinib; cobimetinib; binimetinib,Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma
DUSP6,1,unknown,,Ovarian Germ Cell Tumor
