Cancer_Type,Targets,Drugs,Combined_Score,Drug_Availability,Selectivity,Tox_Feasibility,Clinical_Precedent,Feasibility_Score,Adjusted_Score,Original_Rank,Feasibility_Rank,Rank_Change,Num_Red_Flags,Red_Flag_Summary,Precedent_Matches
Head and Neck Squamous Cell Carcinoma,CDK4+CDK6+ERBB2,palbociclib+palbociclib+trastuzumab,0.000,1.000,0.750,0.750,0.000,0.675,0.000,11,11,0,1,Overlapping myelosuppression: CDK6+CDK4 (2 targets share myelosuppression risk),None
Pancreatic Adenocarcinoma,EGFR+KRAS+MET,erlotinib+sotorasib+capmatinib,0.000,0.967,0.920,0.800,0.100,0.740,0.000,12,12,0,1,Overlapping gastrointestinal: EGFR+MET+KRAS (3 targets share gastrointestinal risk),Partial: EGFR+KRAS of EGFR+KRAS+STAT3 (Preclinical)
Ovarian Epithelial Tumor,CDK6+EGFR+MET,palbociclib+erlotinib+capmatinib,0.000,1.000,0.920,0.900,0.000,0.755,0.000,13,13,0,1,Overlapping gastrointestinal: EGFR+MET (2 targets share gastrointestinal risk),None
Endometrial Carcinoma,CDK2+EGFR+MET,dinaciclib+erlotinib+capmatinib,0.000,0.850,0.680,0.900,0.000,0.650,0.000,14,14,0,1,Overlapping gastrointestinal: EGFR+MET (2 targets share gastrointestinal risk),None
Hepatocellular Carcinoma,EGFR+FGFR1+MET,erlotinib+erdafitinib+capmatinib,0.000,0.967,0.920,0.900,1.000,0.945,0.000,15,15,0,1,Overlapping gastrointestinal: EGFR+MET (2 targets share gastrointestinal risk),Full match: MET (FDA_approved)
Liposarcoma,EGFR+FGFR1+MET,erlotinib+erdafitinib+capmatinib,0.000,0.967,0.920,0.900,0.000,0.745,0.000,16,16,0,1,Overlapping gastrointestinal: EGFR+MET (2 targets share gastrointestinal risk),None
Diffuse Glioma,EGFR+FGFR1+MET,erlotinib+erdafitinib+capmatinib,0.000,0.967,0.920,0.900,0.000,0.745,0.000,17,17,0,1,Overlapping gastrointestinal: EGFR+MET (2 targets share gastrointestinal risk),None
Poorly Differentiated Thyroid Cancer,BRAF+MAP2K1+STAT3,vemurafenib+trametinib+napabucasin,0.420,0.883,1.000,0.950,1.000,0.952,0.441,19,18,1,1,Overlapping dermatologic: MAP2K1+BRAF (2 targets share dermatologic risk),Full match: BRAF+MAP2K1 (FDA_approved)
Clear Cell Sarcoma,CDK4+EGFR+FGFR1,palbociclib+erlotinib+erdafitinib,0.404,0.967,1.000,1.000,0.000,0.790,0.511,18,19,-1,0,None,None
Mucosal Melanoma of the Vulva/Vagina,BRAF+FYN+STAT3,vemurafenib+dasatinib+napabucasin,0.455,0.850,0.920,1.000,0.500,0.835,0.545,21,20,1,0,None,Partial: BRAF of BRAF+MAP2K1 (FDA_approved)
Salivary Carcinoma,CDK6+EGFR+MET,palbociclib+erlotinib+capmatinib,0.440,1.000,0.920,0.900,0.000,0.755,0.583,20,21,-1,1,Overlapping gastrointestinal: EGFR+MET (2 targets share gastrointestinal risk),None
"Head and Neck Carcinoma, Other",CDK6+EGFR+MET,palbociclib+erlotinib+capmatinib,0.581,1.000,0.920,0.900,0.600,0.875,0.664,70,22,48,1,Overlapping gastrointestinal: EGFR+MET (2 targets share gastrointestinal risk),Full match: EGFR+MET (Phase_2)
Glassy Cell Carcinoma of the Cervix,CDK4+EGFR+STAT3,palbociclib+erlotinib+napabucasin,0.497,0.883,1.000,0.900,0.000,0.740,0.672,26,23,3,1,Overlapping gastrointestinal: EGFR+STAT3 (2 targets share gastrointestinal risk),None
Mature T and NK Neoplasms,CDK6+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.483,0.850,1.000,0.850,0.000,0.718,0.673,23,24,-1,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,EGFR+FYN+STAT3,erlotinib+dasatinib+napabucasin,0.480,0.850,0.920,0.900,0.000,0.710,0.676,22,25,-3,1,Overlapping gastrointestinal: EGFR+STAT3 (2 targets share gastrointestinal risk),None
Hepatoblastoma,BRAF+FYN+STAT3,vemurafenib+dasatinib+napabucasin,0.507,0.850,0.920,1.000,0.000,0.735,0.690,27,26,1,0,None,None
Adrenocortical Carcinoma,CDK6+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.496,0.850,1.000,0.850,0.000,0.718,0.691,25,27,-2,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Cutaneous Squamous Cell Carcinoma,CDK6+EGFR+MET,palbociclib+erlotinib+capmatinib,0.527,1.000,0.920,0.900,0.000,0.755,0.698,35,28,7,1,Overlapping gastrointestinal: EGFR+MET (2 targets share gastrointestinal risk),None
Breast Ductal Carcinoma In Situ,CDK4+EGFR+STAT3,palbociclib+erlotinib+napabucasin,0.603,0.883,1.000,0.900,0.500,0.840,0.718,73,29,44,1,Overlapping gastrointestinal: EGFR+STAT3 (2 targets share gastrointestinal risk),Partial: CDK4 of CDK4+CDK6 (FDA_approved); Partial: EGFR of EGFR+ERBB2 (FDA_approved)
Pleural Mesothelioma,FGFR1+FYN+STAT3,erdafitinib+dasatinib+napabucasin,0.526,0.817,0.920,1.000,0.000,0.725,0.726,34,30,4,0,None,None
Well-Differentiated Thyroid Cancer,FYN+MAP2K1+STAT3,dasatinib+trametinib+napabucasin,0.564,0.850,0.920,0.750,0.500,0.772,0.730,59,31,28,1,DDI (major): dasatinib+trametinib — QT prolongation (additive),Partial: MAP2K1 of BRAF+MAP2K1 (FDA_approved)
Ewing Sarcoma,CDK4+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.526,0.850,1.000,0.850,0.000,0.718,0.733,33,32,1,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Ampullary Carcinoma,EGFR+KRAS+STAT3,erlotinib+sotorasib+napabucasin,0.512,0.850,1.000,0.750,0.000,0.693,0.739,28,33,-5,2,Overlapping gastrointestinal: EGFR+STAT3+KRAS (3 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
B-Cell Acute Lymphoblastic Leukemia,CDK6+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.541,0.850,1.000,0.850,0.000,0.718,0.754,41,34,7,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Giant Cell Tumor of Bone,EGFR+KRAS+STAT3,erlotinib+sotorasib+napabucasin,0.523,0.850,1.000,0.750,0.000,0.693,0.755,31,35,-4,2,Overlapping gastrointestinal: EGFR+STAT3+KRAS (3 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Nerve Sheath Tumor,FGFR1+FYN+STAT3,erdafitinib+dasatinib+napabucasin,0.548,0.817,0.920,1.000,0.000,0.725,0.756,48,36,12,0,None,None
Mature B-Cell Neoplasms,CDK6+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.547,0.850,1.000,0.850,0.000,0.718,0.762,46,37,9,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
"Breast Neoplasm, NOS",BCL2+FYN+STAT3,venetoclax+dasatinib+napabucasin,0.484,0.817,0.800,0.750,0.000,0.633,0.765,24,38,-14,1,Overlapping myelosuppression: FYN+BCL2 (2 targets share myelosuppression risk),None
Mixed Cervical Carcinoma,ERBB2+MAP2K1+MAP2K2,trastuzumab+trametinib+trametinib,0.555,1.000,0.750,0.950,0.000,0.725,0.766,53,39,14,1,Overlapping dermatologic: MAP2K2+MAP2K1 (2 targets share dermatologic risk),None
Non-Hodgkin Lymphoma,CDK6+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.556,0.850,1.000,0.850,0.000,0.718,0.775,54,40,14,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
T-Lymphoblastic Leukemia/Lymphoma,CDK6+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.564,0.850,1.000,0.850,0.000,0.718,0.786,60,41,19,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Ovarian Germ Cell Tumor,KRAS+MET+STAT3,sotorasib+capmatinib+napabucasin,0.532,0.850,0.920,0.750,0.000,0.672,0.791,36,42,-6,2,Overlapping gastrointestinal: STAT3+MET+KRAS (3 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Intracholecystic Papillary Neoplasm,EGFR+KRAS+STAT3,erlotinib+sotorasib+napabucasin,0.549,0.850,1.000,0.750,0.000,0.693,0.793,50,43,7,2,Overlapping gastrointestinal: EGFR+STAT3+KRAS (3 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Rhabdomyosarcoma,CDK6+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.569,0.850,1.000,0.850,0.000,0.718,0.793,64,44,20,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Leiomyosarcoma,KRAS+MET+STAT3,sotorasib+capmatinib+napabucasin,0.534,0.850,0.920,0.750,0.000,0.672,0.794,37,45,-8,2,Overlapping gastrointestinal: STAT3+MET+KRAS (3 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Epithelioid Sarcoma,FYN+MET+STAT3,dasatinib+capmatinib+napabucasin,0.543,0.850,0.800,0.900,0.000,0.680,0.799,42,46,-4,1,Overlapping gastrointestinal: STAT3+MET (2 targets share gastrointestinal risk),None
Extra Gonadal Germ Cell Tumor,CDK2+MAP2K1+STAT3,dinaciclib+trametinib+napabucasin,0.550,0.733,0.800,1.000,0.000,0.670,0.821,51,47,4,0,None,None
Ocular Melanoma,CDK4+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.590,0.850,1.000,0.850,0.000,0.718,0.822,71,48,23,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Cervical Squamous Cell Carcinoma,CDK4+EGFR+STAT3,palbociclib+erlotinib+napabucasin,0.615,0.883,1.000,0.900,0.000,0.740,0.831,75,49,26,1,Overlapping gastrointestinal: EGFR+STAT3 (2 targets share gastrointestinal risk),None
Urethral Cancer,FYN+MAP2K1+STAT3,dasatinib+trametinib+napabucasin,0.559,0.850,0.920,0.750,0.000,0.672,0.831,55,50,5,1,DDI (major): dasatinib+trametinib — QT prolongation (additive),None
Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,FYN+MAP2K1+STAT3,dasatinib+trametinib+napabucasin,0.562,0.850,0.920,0.750,0.000,0.672,0.836,56,51,5,1,DDI (major): dasatinib+trametinib — QT prolongation (additive),None
Embryonal Tumor,CDK6+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.603,0.850,1.000,0.850,0.000,0.718,0.840,72,52,20,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Gestational Trophoblastic Disease,CDK4+KRAS+STAT3,palbociclib+sotorasib+napabucasin,0.604,0.850,1.000,0.850,0.000,0.718,0.842,74,53,21,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Neuroblastoma,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.520,0.850,0.920,0.500,0.000,0.610,0.852,29,54,-25,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Acute Leukemias of Ambiguous Lineage,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.521,0.850,0.920,0.500,0.000,0.610,0.854,30,55,-25,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Cervical Adenocarcinoma,FYN+STAT3+YES1,dasatinib+napabucasin+dasatinib,0.546,0.817,0.550,1.000,0.000,0.633,0.863,45,56,-11,0,None,None
"Sarcoma, NOS",CDK4+CDK6+STAT3,palbociclib+palbociclib+napabucasin,0.563,0.883,0.750,0.750,0.000,0.640,0.880,57,57,0,1,Overlapping myelosuppression: CDK6+CDK4 (2 targets share myelosuppression risk),None
Meningothelial Tumor,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.537,0.850,0.920,0.500,0.000,0.610,0.880,38,58,-20,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Bladder Squamous Cell Carcinoma,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.537,0.850,0.920,0.500,0.000,0.610,0.880,39,59,-20,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Rhabdoid Cancer,CDK4+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.540,0.850,0.920,0.500,0.000,0.610,0.885,40,60,-20,2,Overlapping myelosuppression: FYN+CDK4 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Hodgkin Lymphoma,CDK4+CDK6+STAT3,palbociclib+palbociclib+napabucasin,0.568,0.883,0.750,0.750,0.000,0.640,0.888,62,61,1,1,Overlapping myelosuppression: CDK6+CDK4 (2 targets share myelosuppression risk),None
SMARCA4-deficient undifferentiated tumor,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.546,0.850,0.920,0.500,0.000,0.610,0.895,44,62,-18,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Intraductal Papillary Neoplasm of the Bile Duct,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.548,0.850,0.920,0.500,0.000,0.610,0.898,47,63,-16,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Adenosquamous Carcinoma of the Pancreas,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.549,0.850,0.920,0.500,0.000,0.610,0.900,49,64,-15,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Squamous Cell Carcinoma of the Vulva/Vagina,FYN+SRC+STAT3,dasatinib+dasatinib+napabucasin,0.525,0.850,0.550,0.750,0.000,0.580,0.905,32,65,-33,1,Overlapping myelosuppression: FYN+SRC (2 targets share myelosuppression risk),None
Merkel Cell Carcinoma,CDK2+KRAS+STAT3,dinaciclib+sotorasib+napabucasin,0.568,0.700,0.800,0.850,0.000,0.623,0.912,61,66,-5,2,Overlapping gastrointestinal: STAT3+KRAS (2 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Lung Neuroendocrine Tumor,KRAS+MET+STAT3,sotorasib+capmatinib+napabucasin,0.624,0.850,0.920,0.750,0.000,0.672,0.928,76,67,9,2,Overlapping gastrointestinal: STAT3+MET+KRAS (3 targets share gastrointestinal risk); DDI (minor): sotorasib+napabucasin — Additive GI toxicity,None
Fibrosarcoma,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.569,0.850,0.920,0.500,0.000,0.610,0.933,63,68,-5,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Esophageal Squamous Cell Carcinoma,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.570,0.850,0.920,0.500,0.000,0.610,0.934,65,69,-4,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Synovial Sarcoma,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.574,0.850,0.920,0.500,0.000,0.610,0.941,66,70,-4,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Myeloproliferative Neoplasms,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.575,0.850,0.920,0.500,0.000,0.610,0.943,67,71,-4,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Non-Cancerous,CDK6+FYN+STAT3,palbociclib+dasatinib+napabucasin,0.576,0.850,0.920,0.500,0.000,0.610,0.944,68,72,-4,2,Overlapping myelosuppression: FYN+CDK6 (2 targets share myelosuppression risk); DDI (major): palbociclib+dasatinib — Additive myelosuppression,None
Uterine Sarcoma/Mesenchymal,CDK2+FYN+STAT3,dinaciclib+dasatinib+napabucasin,0.544,0.700,0.680,0.750,0.000,0.568,0.959,43,73,-30,1,Overlapping myelosuppression: FYN+CDK2 (2 targets share myelosuppression risk),None
Retinoblastoma,BCL2L1+CDK6+ERBB2,navitoclax+palbociclib+trastuzumab,0.624,0.850,0.800,0.750,0.000,0.643,0.971,77,74,3,1,Overlapping myelosuppression: CDK6+BCL2L1 (2 targets share myelosuppression risk),None
Chondrosarcoma,CDK2+FYN+STAT3,dinaciclib+dasatinib+napabucasin,0.554,0.700,0.680,0.750,0.000,0.568,0.976,52,75,-23,1,Overlapping myelosuppression: FYN+CDK2 (2 targets share myelosuppression risk),None
Osteosarcoma,CDK2+FYN+STAT3,dinaciclib+dasatinib+napabucasin,0.564,0.700,0.680,0.750,0.000,0.568,0.994,58,76,-18,1,Overlapping myelosuppression: FYN+CDK2 (2 targets share myelosuppression risk),None
Non-Seminomatous Germ Cell Tumor,FYN+SRC+STAT3,dasatinib+dasatinib+napabucasin,0.581,0.850,0.550,0.750,0.000,0.580,1.002,69,77,-8,1,Overlapping myelosuppression: FYN+SRC (2 targets share myelosuppression risk),None
