gene,uniprot_id,gene_druggability,protein_score,blended_score,structural_score,mean_plddt,n_pdb_structures,n_ligand_bound,has_pocket,abundance_score,detection_fraction,degradability_score,has_known_degrader,degrader_exemplar,ppi_score,n_pdb_complexes,disordered_fraction,rna_expression_score,rna_expression_fraction,rna_mean_tpm,rna_n_cell_lines,concordance_rho,concordance_pvalue,concordance_tier,concordance_score
CDK2,P24941,0.65,0.8162,0.7298,0.9872483221476511,88.46268456375839,516,481,True,0.2281,0.2222,0.7,True,TMX-4116,1.0,190,0.0268,1.0,1.037,5.3965,27,0.4728,2.6005402921280286e-12,moderate,0.6
CDK4,P11802,1.0,0.8112,0.9094,0.9701320132013203,86.80643564356436,15,8,True,0.2258,0.2222,0.7,True,BSJ-03-123,1.0,15,0.0693,1.0,1.037,7.4979,27,0.352,4.2171919002546744e-07,moderate,0.6
CDK6,Q00534,1.0,0.8334,0.9201,0.9605828220858896,85.39610429447853,22,18,True,0.3677,0.3333,0.7,True,BSJ-03-123,1.0,9,0.0859,0.85,1.037,3.9299,27,0.6519,4.309391709277884e-25,high,1.0
CDKN1A,P38936,0.2,0.7184,0.3695,0.598170731707317,69.00341463414635,13,3,True,0.7747,0.5,0.1,False,,1.0,10,0.25,1.0,1.0,5.1935,27,0.7403,3.979100464906195e-27,high,1.0
CDKN2A,P42771,0.2,0.5081,0.3232,0.569551282051282,76.30288461538461,5,0,False,0.1103,0.1111,0.3,False,,0.6,2,0.1282,0.3,0.4815,5.9736,27,0.6006,1.3471513627457773e-20,high,1.0
CHUK,O15111,0.2,0.6736,0.3251,0.8047651006711409,83.82693959731543,5,1,True,0.3624,0.3333,0.5,False,,0.6,1,0.0993,1.0,1.037,4.0575,27,0.4685,4.3830185150565495e-12,moderate,0.6
CTNNB1,P35222,0.2,0.8233,0.3945,0.9140845070422536,81.05594110115237,50,30,True,0.9491,0.6111,0.5,False,,1.0,38,0.1869,1.0,1.037,7.1787,27,0.24,0.0007051548552950436,low,0.3
DVL1,O14640,0.2,0.6207,0.3146,0.5589208633093525,59.84810071942446,3,3,True,0.491,0.3889,0.5,False,,0.6,1,0.5554,1.0,1.037,5.1912,27,0.3706,7.27335574042799e-05,moderate,0.6
E2F1,Q01094,0.2,0.6168,0.3138,0.5576659038901601,62.02848970251716,8,2,True,0.4069,0.0556,0.5,False,,0.6,8,0.4256,1.0,1.037,4.4445,27,0.4486,0.003693453389874738,moderate,0.6
EGFR,P00533,1.0,0.9191,0.9612,0.8886363636363637,75.94988429752065,378,337,True,1.0,0.7222,0.7,True,PROTAC-EGFR,1.0,69,0.2281,1.0,1.037,4.8563,27,,,,
ERBB2,P04626,1.0,0.9219,0.9625,0.8676892430278885,73.98320318725098,61,32,True,1.0,0.7222,0.7,True,compound 7,1.0,47,0.2454,1.0,1.037,5.3084,27,0.8094,9.86223691874635e-47,high,1.0
ERBB3,P21860,0.2,0.8572,0.4022,0.8622950819672132,72.45775707898659,23,21,True,0.8303,0.5,0.5,False,,1.0,17,0.2973,1.0,1.037,4.9937,27,0.7934,2.1011968275911226e-37,high,1.0
FGFR1,P11362,1.0,0.7787,0.8938,0.8833941605839416,73.84475669099757,81,73,True,0.4903,0.3889,0.7,True,FMF-06-098-1,1.0,10,0.2336,0.85,0.8519,3.9266,27,0.4287,9.1889818756335e-09,moderate,0.6
FGFR2,P21802,1.0,0.7654,0.8874,0.8697929354445798,73.90936662606578,59,49,True,0.2642,0.1667,0.7,True,NJH-05-123,1.0,14,0.2546,0.6,0.7037,2.9427,27,0.6969,4.6658353525403e-14,high,1.0
FLT3,P36888,1.0,0.6019,0.8407,0.8910372608257805,75.9210372608258,11,9,True,0.038,0.0556,0.7,True,FLT3-PROTAC,0.6,4,0.1561,0.1,0.0,0.0,27,0.3479,0.012371737879910303,moderate,0.6
FYN,P06241,1.0,0.7786,0.8937,0.9383612662942272,80.8392923649907,52,27,True,0.2366,0.1667,0.7,True,SB1-G-200,1.0,21,0.1546,0.85,1.0,3.6847,27,0.433,2.3247440155615768e-10,moderate,0.6
GSK3B,P49841,0.2,0.781,0.3846,0.9753571428571429,88.22559523809524,122,122,True,0.2407,0.2778,0.5,False,,1.0,44,0.1214,1.0,1.037,4.6971,27,0.3273,2.8277434780126564e-06,moderate,0.6
HRAS,P01112,0.2,0.885,0.4084,1.0,91.94629629629628,234,227,True,1.0,0.8889,0.5,False,,1.0,80,0.0476,1.0,1.037,5.2494,27,0.394,1.10371357361059e-08,moderate,0.6
IDH1,O75874,1.0,0.8201,0.9136,1.0,95.8507729468599,60,60,True,0.7704,0.5,0.5,False,,0.6,3,0.0,1.0,1.037,7.0773,27,0.6727,3.5191347733808274e-27,high,1.0
IDH2,P48735,1.0,0.7974,0.9028,1.0,91.86920353982302,11,11,True,0.6283,0.4444,0.5,False,,0.6,4,0.0752,1.0,1.037,4.7569,27,0.8001,6.289706198941928e-45,high,1.0
IGF1R,P08069,0.2,0.8638,0.4037,0.9136064374542794,78.01789319678127,46,37,True,0.9146,0.6111,0.5,False,,1.0,14,0.1573,0.85,0.9259,2.7964,27,0.6448,2.0057634344798282e-24,high,1.0
IKBKB,O14920,0.2,0.7224,0.3705,0.8214285714285714,86.54374338624339,5,1,True,0.2983,0.2222,0.5,False,,0.6,3,0.0807,1.0,1.037,4.485,27,0.5735,1.5556479423268943e-18,high,1.0
JAK1,P23458,1.0,0.8852,0.9449,0.9756499133448874,85.5702512998267,51,46,True,0.6303,0.4444,0.7,True,PROTAC compound (DB #774),1.0,7,0.0728,1.0,1.037,5.0206,27,0.5553,6.293764893425164e-17,high,1.0
JAK2,O60674,1.0,0.8599,0.9327,0.991696113074205,86.88294169611306,164,161,True,0.4347,0.1111,0.7,True,PROTAC compound (DB #774),1.0,7,0.0645,0.85,0.963,1.9284,27,0.5976,3.6878027993523433e-07,high,1.0
KIT,P10721,0.2,0.6425,0.319,0.9046106557377049,78.18652663934427,52,50,True,0.0351,0.0556,0.7,True,PROTAC compound (DB #1422),1.0,9,0.1619,0.1,0.0741,1.4974,27,0.2129,0.08126497676981356,low,0.3
KRAS,P01116,1.0,0.915,0.9592,1.0,91.52386243386245,459,442,True,1.0,0.7778,0.7,True,LC-2,1.0,177,0.0212,1.0,1.037,4.6007,27,0.3178,3.7652731168465066e-05,moderate,0.6
LATS1,O95835,0.2,0.6011,0.3106,0.5349557522123893,55.314584070796464,4,3,True,0.2473,0.2778,0.7,True,RSS0680,0.6,4,0.5814,0.85,1.037,3.0744,27,0.4819,2.176254244468595e-09,moderate,0.6
LATS2,Q9NRM7,0.2,0.5807,0.3523,0.34411764705882353,55.80682904411765,1,0,False,0.4409,0.1111,0.5,False,,0.6,1,0.5873,0.85,1.037,2.7157,27,0.5952,8.120300603845625e-06,high,1.0
LCK,P06239,0.2,0.7549,0.3784,0.9516699410609037,83.59485265225933,57,48,True,0.1884,0.1667,0.7,True,DB0614,1.0,15,0.1238,0.3,0.4074,2.5846,27,0.5635,4.107886063716678e-06,high,1.0
LYN,P07948,1.0,0.756,0.8829,0.80224609375,83.1450390625,6,3,True,0.642,0.4444,0.7,True,DB0646,0.6,1,0.1406,0.85,1.037,2.9474,27,0.8005,5.15575473804593e-45,high,1.0
MAP2K1,Q02750,1.0,0.7761,0.8925,0.9450381679389314,83.2224427480916,89,89,True,0.2727,0.1667,0.5,False,,1.0,40,0.1221,1.0,1.037,5.7109,27,0.3188,5.248897493947434e-06,moderate,0.6
MAP2K2,P36507,1.0,0.6581,0.8632,0.774875,81.635225,3,2,True,0.2355,0.2778,0.5,False,,0.6,2,0.1725,1.0,1.037,5.7517,27,0.3995,6.602034463085284e-09,moderate,0.6
MAPK1,P28482,0.2,0.7914,0.387,1.0,90.37444444444444,159,155,True,0.3591,0.3333,0.5,False,,1.0,20,0.0417,1.0,1.037,5.5357,27,0.4894,3.3776315143731216e-13,moderate,0.6
MAPK3,P27361,0.2,0.633,0.3171,0.833245382585752,87.98240105540897,3,3,True,0.3673,0.3333,0.5,False,,0.3,0,0.0792,1.0,1.037,5.3167,27,0.397,8.356782291806745e-09,moderate,0.6
MCL1,Q07820,0.5,0.7695,0.6294,0.7357142857142858,63.62662857142857,143,123,True,0.903,0.6111,0.7,True,dMCL1-2,0.6,49,0.4686,1.0,1.037,6.7845,27,0.3546,1.0399575663727796e-06,moderate,0.6
MDM2,Q00987,0.2,0.724,0.3709,0.7094704684317719,62.58448065173117,146,122,True,0.2926,0.2222,0.7,True,MD-224,0.6,64,0.4766,1.0,1.037,4.7338,27,0.5847,1.9893905648231022e-11,high,1.0
MET,P08581,1.0,0.938,0.9703,0.9320863309352518,79.22879856115108,129,112,True,1.0,0.9444,0.7,True,PROTAC-MET,1.0,17,0.1388,1.0,1.037,6.4384,27,0.7954,4.6830447731258e-44,high,1.0
MTOR,P42345,1.0,0.7781,0.8935,0.9518242448018832,77.97040800313849,61,47,True,0.3577,0.3333,0.7,True,PROTAC compound (DB #4695),1.0,56,0.0985,1.0,1.037,4.1821,27,0.0556,0.43853717631396905,low,0.3
MYC,P01106,0.45,0.6716,0.5387,0.6272026431718062,60.408480176211455,25,11,True,0.4967,0.3889,0.7,True,MDEG-541,0.6,17,0.4053,1.0,1.037,6.2619,27,0.3976,1.1517516137700517e-06,moderate,0.6
NFKB1,P19838,0.2,0.7563,0.3787,0.7244318181818181,73.17747933884297,15,1,True,0.2453,0.2778,0.5,False,,1.0,12,0.2758,1.0,1.037,4.1569,27,0.5218,4.4319603353569725e-15,high,1.0
NRAS,P01111,0.2,0.8359,0.3974,1.0,92.04449735449734,29,21,True,0.7457,0.5,0.5,False,,1.0,19,0.0423,1.0,1.037,4.9138,27,0.3942,1.085560127433808e-08,moderate,0.6
PARP1,P09874,1.0,0.8832,0.9439,0.955621301775148,82.38227810650888,103,99,True,0.5096,0.1111,0.7,True,iRucaparib-AP6,1.0,15,0.1105,1.0,1.037,5.8182,27,0.6107,2.0290150877110084e-21,high,1.0
PIK3CA,P42336,1.0,0.7646,0.887,1.0,92.36351123595506,125,107,True,0.256,0.2778,0.5,False,,1.0,90,0.0112,0.85,1.037,3.5431,27,0.3137,3.653374718624276e-05,moderate,0.6
PIK3CB,P42338,0.2,0.5369,0.3348,0.4826635514018692,86.34905607476635,0,0,False,0.3609,0.3333,0.5,False,,0.3,0,0.0505,1.0,1.037,4.4404,27,0.3716,5.631584305798682e-07,moderate,0.6
PIK3R1,P27986,0.2,0.8097,0.3913,0.9740331491712708,83.16009668508288,102,75,True,0.3269,0.1667,0.5,False,,1.0,95,0.0981,0.85,1.0,2.9367,27,0.5547,8.392183941641927e-17,high,1.0
PTEN,P60484,0.2,0.7192,0.3697,0.9271712158808934,83.02808933002481,28,7,True,0.4944,0.3889,0.5,False,,0.6,4,0.1712,1.0,1.037,4.93,27,0.4023,4.0191059462457485e-07,moderate,0.6
RAF1,P04049,0.2,0.6689,0.3242,0.8123456790123457,67.50760802469136,67,60,True,0.2395,0.2778,0.5,False,,0.6,59,0.3549,1.0,1.037,5.6022,27,0.4841,1.941360340390916e-12,moderate,0.6
RB1,P06400,0.2,0.8038,0.39,0.7032327586206897,76.06631465517242,19,2,True,0.7607,0.5,0.5,False,,1.0,10,0.2155,1.0,1.037,4.338,27,0.5322,1.0008227571086008e-15,high,1.0
RELA,Q04206,0.2,0.686,0.3274,0.8024500907441017,72.19050816696915,88,77,True,0.4943,0.3889,0.5,False,,0.6,88,0.343,1.0,1.037,5.5519,27,0.4318,2.6279557071903205e-10,moderate,0.6
RET,P07949,1.0,0.6004,0.8402,0.9250897666068223,78.79307001795333,34,33,True,0.0771,0.1111,0.5,False,,1.0,7,0.1876,0.1,0.037,2.5942,27,0.2458,0.19038286009853816,low,0.3
ROS1,P08922,1.0,0.4539,0.7291,0.8782275244993609,72.21682147422241,5,5,True,0.0973,0.1667,0.5,False,,0.3,0,0.1436,0.1,0.037,3.5695,27,0.072,0.44649364647382395,low,0.3
SRC,P12931,1.0,0.9396,0.971,0.9432835820895522,83.46263059701492,78,56,True,0.994,0.7222,0.7,True,dasatinib-PROTAC,1.0,16,0.1549,1.0,1.037,4.5978,27,0.6954,1.1966704671234503e-29,high,1.0
STAT3,P40763,0.75,0.8382,0.7923,0.8057142857142858,84.85115584415584,6,3,True,0.9587,0.6667,0.7,True,SD-36,0.6,3,0.1039,1.0,1.037,5.1793,27,0.5824,3.4117345230078947e-19,high,1.0
STAT5A,P42229,0.2,0.6806,0.3264,0.9627204030226701,85.0555289672544,5,5,True,0.2432,0.2778,0.5,False,,0.3,0,0.1071,0.85,0.9259,2.4285,27,0.5206,5.1920890776082476e-15,high,1.0
STAT5B,P51692,0.2,0.638,0.3181,0.615438373570521,85.1761626429479,2,0,False,0.4884,0.3889,0.7,True,AK-2292,0.3,0,0.1042,0.85,1.037,3.8787,27,0.597,2.429177111332529e-16,high,1.0
STK3,Q13188,0.2,0.8396,0.3982,0.8819755600814665,76.34938900203666,11,6,True,0.9205,0.6111,0.5,False,,1.0,6,0.2485,1.0,1.037,4.3938,27,0.4507,3.37250295495054e-11,moderate,0.6
STK4,Q13043,0.2,0.8445,0.3993,0.8749486652977413,75.92831622176591,16,10,True,0.5009,0.3889,0.7,True,WH-10417-099,1.0,9,0.2382,1.0,1.037,4.1356,27,0.5814,4.068646588845943e-19,high,1.0
TP53,P04637,0.2,0.8719,0.4055,0.8288804071246819,75.05012722646309,298,241,True,0.9486,0.6111,0.5,False,,1.0,115,0.2977,1.0,1.037,4.6455,27,0.5962,2.978294325860728e-20,high,1.0
TSC1,Q92574,0.2,0.6019,0.3108,0.4108247422680412,62.06341924398626,5,0,False,0.7482,0.5,0.5,False,,0.6,5,0.4287,0.85,1.037,3.8775,27,0.4201,8.83729255568083e-10,moderate,0.6
TSC2,P49815,0.2,0.5949,0.358,0.502158273381295,67.87280575539569,2,0,False,0.6284,0.4444,0.5,False,,0.6,2,0.3016,1.0,1.037,4.9403,27,0.146,0.04110303010917034,low,0.3
TYK2,P29597,0.2,0.71,0.3674,0.9550126368997474,81.76899747262004,52,51,True,0.2521,0.2778,0.7,True,JWG-148,0.6,3,0.1314,1.0,1.037,5.3646,27,0.2723,0.0002782586349146713,low,0.3
WWTR1,Q9GZV5,0.2,0.7502,0.3772,0.6677500000000001,59.14265,11,11,True,0.9912,0.6667,0.3,False,,0.6,11,0.515,1.0,1.037,5.4102,27,0.7777,1.5283575221327077e-38,high,1.0
YAP1,P46937,0.2,0.746,0.3762,0.6440476190476191,57.402023809523804,41,29,True,1.0,0.7222,0.3,False,,0.6,37,0.4484,1.0,1.037,5.8188,27,0.6566,1.905748051857375e-23,high,1.0
YES1,P07947,1.0,0.7966,0.9024,0.7865561694290977,81.87834254143647,1,1,True,0.9998,0.7778,0.7,True,TL12-186,0.3,0,0.1694,1.0,1.037,5.0344,27,0.6692,8.139436492413635e-27,high,1.0
